bins,N_F127,N_F139
3.1174175127179155e-13,3.0,0.0
3.208447747574416e-13,3.0,0.0
3.3021361132793665e-13,2.0,3.0
3.3985602286548926e-13,1.0,1.0
3.4977999790336326e-13,2.0,2.0
3.5999375824420686e-13,0.0,2.0
3.7050576577164067e-13,1.0,2.0
3.8132472946074804e-13,0.0,3.0
3.924596125932755e-13,3.0,2.0
4.0391964018352037e-13,1.0,0.0
4.157143066210622e-13,2.0,1.0
4.278533835366627e-13,2.0,1.0
4.403469278978533e-13,2.0,3.0
4.532052903409186e-13,1.0,0.0
4.664391237461774e-13,2.0,4.0
4.800593920636722e-13,2.0,1.0
4.940773793965673e-13,1.0,1.0
5.085046993497888e-13,2.0,0.0
5.23353304651648e-13,1.0,0.0
5.386354970564226e-13,1.0,1.0
5.54363937536102e-13,1.0,1.0
5.705516567697344e-13,0.0,0.0
5.872120659390653e-13,1.0,1.0
6.043589678394168e-13,0.0,1.0
6.220065683150085e-13,1.0,0.0
6.401694880282028e-13,0.0,1.0
6.588627745724124e-13,0.0,0.0
6.781019149387108e-13,1.0,0.0
6.979028483464741e-13,0.0,1.0
7.182819794486845e-13,0.0,0.0
7.392561919228423e-13,0.0,0.0
7.608428624587335e-13,1.0,1.0
7.830598751546467e-13,0.0,1.0
8.059256363339674e-13,0.0,0.0
8.294590897944246e-13,1.0,0.0
8.536797325026308e-13,2.0,0.0
8.786076307469046e-13,1.0,0.0
9.042634367617621e-13,0.0,0.0
9.306684058378534e-13,0.0,1.0
9.57844413931517e-13,0.0,0.0
9.858139757885538e-13,2.0,1.0
